,true_labels,predicted_labels
5601,17,17
21899,16,16
50414,8,8
93744,0,0
15510,23,23
50883,11,11
96947,17,17
57881,3,17
61232,17,28
13994,29,29
27283,17,17
122420,6,6
57621,17,17
21814,23,23
56256,19,19
105544,2,2
10949,29,29
40017,8,8
27441,17,17
67566,2,2
72275,11,11
95882,8,8
82084,2,2
90590,19,19
81713,15,15
7695,15,15
11445,17,17
12728,18,18
22174,17,17
33517,12,12
1792,29,29
18956,17,17
13391,15,15
30016,12,12
15697,8,8
38489,8,8
76866,17,17
107557,8,8
96193,18,12
100945,8,8
3095,17,17
19737,28,28
86297,8,8
29199,13,13
102947,12,12
19919,17,17
85171,8,8
44609,25,25
48466,28,28
57411,18,18
29273,17,21
8563,26,26
54906,20,12
73084,17,17
122503,17,17
91475,30,30
27592,5,5
87510,9,9
99626,22,22
119994,27,27
95753,12,12
42699,6,6
84504,18,18
97238,5,19
43737,17,17
13203,12,28
31240,2,2
48714,3,3
100317,8,8
30343,17,17
41886,1,8
60454,16,16
88101,9,9
7705,2,8
4498,29,29
44048,17,17
63614,30,30
97195,17,17
1966,18,18
84031,8,8
31669,25,25
50316,14,14
66511,16,16
16314,27,27
91445,8,8
49328,22,22
74890,8,8
77978,17,17
45120,17,17
33391,17,17
65790,17,17
101146,30,30
102024,17,17
60793,1,1
98348,11,11
84445,8,17
22268,11,11
56393,8,8
83901,27,27
40489,12,26
36546,15,15
60247,1,1
27389,20,20
37777,8,8
79319,3,3
70140,2,2
78230,17,17
35874,8,8
111339,19,19
66713,10,10
26260,17,17
36913,17,17
86956,26,26
110065,18,18
92784,17,17
110372,26,26
64164,17,17
46194,18,18
42497,17,17
29635,1,1
48292,26,0
118209,3,17
84505,22,22
87603,8,8
63349,17,17
50594,20,20
105068,13,13
46337,17,17
42606,17,17
9338,23,23
100227,17,17
33252,17,17
5137,17,17
91447,30,30
31691,17,17
33090,23,23
122470,22,22
63751,7,7
17915,22,22
78638,15,15
119414,2,2
113297,30,30
22326,29,29
72318,8,8
63570,17,17
7494,28,28
90677,22,22
74487,17,17
43932,28,12
92592,17,17
75014,17,17
37793,6,6
77137,21,21
10512,17,17
100207,8,2
41200,4,4
20747,8,8
28311,17,17
98533,30,30
35722,17,17
103957,8,8
22929,12,17
1413,17,17
28126,23,23
117277,13,13
23193,29,29
118606,18,18
79366,8,8
32706,17,17
6426,29,29
111795,17,17
93117,13,13
22661,17,17
1862,17,17
111717,12,12
112397,17,17
52432,24,24
124510,21,21
93270,12,12
52588,17,17
47461,18,18
19655,17,17
16622,5,5
63709,15,15
64924,17,17
9904,8,8
62991,27,27
24609,18,18
120168,17,17
79255,17,17
123776,16,16
49886,8,8
105818,15,17
10157,28,28
23686,27,27
3556,5,5
23077,6,6
6700,8,22
24710,5,8
18791,17,17
69984,10,24
4113,19,19
86846,0,0
13867,29,29
116628,3,3
46960,2,2
50024,18,18
63502,12,12
96518,17,17
81068,15,15
8978,18,18
32730,8,17
53587,17,17
9830,14,14
79175,17,17
72058,8,8
5823,8,8
71651,8,8
73281,4,4
89803,6,6
73665,21,21
120864,19,19
79897,14,14
2111,17,17
107781,8,8
96147,18,18
60199,17,17
47823,12,12
61359,2,2
64508,17,17
71440,17,17
33675,2,2
17930,11,11
52358,5,5
22997,17,17
69369,12,8
3128,5,5
7751,2,2
68710,21,21
77420,15,15
110249,5,5
106466,17,17
68263,17,17
52106,25,13
66649,17,17
20397,18,18
92960,17,17
79154,18,18
93620,15,15
29169,17,17
33925,25,25
31120,25,25
86618,6,6
92163,16,16
27604,17,17
113246,8,8
64007,17,17
73073,8,8
58607,17,17
49734,12,17
29609,3,3
69985,8,8
114069,10,10
115055,9,9
75228,12,12
31617,17,17
95400,30,30
103649,19,19
49528,16,16
65151,10,10
39839,25,25
107381,28,28
23274,18,18
28963,8,8
58533,17,17
108550,3,3
124669,28,28
32429,17,17
9420,17,17
46749,5,5
86632,17,17
27545,17,17
18821,8,8
41781,8,8
85858,8,8
45713,17,17
37107,23,23
2815,17,17
63510,17,17
70742,19,19
23785,12,12
18960,17,17
104594,20,20
111616,22,22
92962,8,8
81922,17,17
91046,26,26
25719,29,29
7033,17,17
50031,17,17
115384,26,26
90634,8,8
23724,17,17
10299,11,11
110996,17,17
60947,25,25
67773,17,17
105812,17,17
117203,8,8
73452,27,27
79862,13,17
68246,17,17
118860,17,17
63583,27,27
67311,21,21
80009,17,17
92696,17,17
123402,17,17
77406,10,21
105553,3,3
72581,21,21
655,17,17
21286,29,29
68353,2,2
19518,29,29
63632,17,17
24431,17,17
102846,12,12
118786,30,30
120153,17,17
42277,18,18
89584,18,18
68615,8,8
113721,8,12
62691,10,10
71771,17,17
95271,12,12
29944,17,17
51535,8,8
107147,30,30
95621,21,21
82889,28,28
72191,30,11
98896,5,5
59480,17,17
109586,13,13
59925,8,8
45644,17,17
34406,21,21
52801,17,17
85648,25,25
79556,8,8
102095,0,0
92936,20,20
96241,3,3
64111,1,1
33968,7,7
102880,20,20
82167,17,17
6143,17,17
108713,8,8
71620,10,10
80935,12,12
100906,0,0
121786,22,22
46463,17,17
70008,17,17
121812,30,27
16405,11,17
3221,29,29
1171,28,28
22494,12,12
116475,17,17
2392,29,29
2495,17,17
58254,17,17
13198,29,29
25873,25,25
11737,7,7
76263,17,21
98044,17,17
17819,12,12
37399,17,17
3627,17,17
24468,17,17
72616,27,8
114026,3,3
89161,12,12
24800,16,16
51577,17,17
101686,19,19
120968,13,13
98564,8,8
120924,16,16
68589,10,10
77320,17,17
21790,16,16
2348,17,17
37847,19,19
74786,5,8
91617,7,7
31511,17,17
82145,25,25
31284,27,27
101695,22,12
40892,14,14
72637,8,8
44768,17,17
94256,11,11
52276,17,17
89429,17,17
93169,11,11
86313,26,26
11968,17,17
3054,8,8
37144,25,25
73043,17,17
122084,2,2
86797,8,8
8926,17,17
27065,18,18
123980,11,11
86075,8,8
31154,5,5
56456,26,26
25138,4,4
103745,0,0
123917,21,21
49524,24,24
2818,8,8
85002,18,18
30004,5,5
54650,17,17
29809,17,17
39888,17,17
122373,17,17
110327,5,5
79320,8,8
64031,12,12
9925,17,17
98423,17,17
64000,17,17
90522,13,13
53523,8,8
9202,14,8
102259,11,11
10141,8,8
62765,25,25
72117,12,12
14447,17,17
114221,30,30
54335,8,8
44190,5,5
104374,27,27
77254,8,8
63597,8,8
82301,17,17
83834,21,21
119032,17,17
35275,8,8
55992,17,17
33122,6,6
2143,15,15
114158,17,17
43958,25,25
34140,8,3
20433,17,17
104889,30,30
113999,5,5
31801,18,18
38249,11,11
86533,8,22
103830,18,17
55854,8,8
75162,8,8
28945,17,17
7924,18,18
90958,13,13
57088,21,21
12681,5,5
82136,8,8
82329,18,18
71248,12,12
36031,12,12
34834,18,18
44697,25,25
24944,17,17
23537,17,17
80793,3,3
97078,30,30
10835,15,15
121533,30,8
70688,24,24
31149,8,5
71159,12,12
51917,17,17
18398,17,17
101122,17,28
23314,28,28
11903,29,29
2782,27,27
16525,8,8
88382,8,8
56517,4,4
119207,11,11
109651,18,18
94446,8,8
18818,8,17
32133,6,6
103578,21,21
19559,12,12
31537,17,17
97171,3,3
43470,8,8
52589,17,17
75810,17,17
111741,6,6
68900,3,3
34444,17,17
73092,17,17
79323,17,17
106617,12,21
111055,3,3
11203,17,17
41879,17,17
86564,30,30
36633,16,16
65208,11,11
106768,2,17
101348,26,26
82930,17,17
115707,30,30
31,2,2
17860,16,16
114566,30,17
111297,13,13
10999,29,29
62026,8,8
51778,17,17
46992,8,8
110773,11,11
64653,18,18
44017,3,3
82004,17,17
118328,11,11
6418,21,21
89459,5,5
111347,5,30
20976,17,17
59712,17,17
14029,21,21
8517,8,8
47317,25,25
108207,17,17
1846,29,29
57093,21,21
61056,17,17
51525,2,2
117632,28,28
107419,3,3
36874,17,17
33150,17,17
56811,17,17
111112,4,4
93388,3,3
51858,8,8
96586,5,5
56331,9,12
70318,2,2
57652,28,28
109450,23,23
79499,15,15
36127,25,17
113546,13,12
108743,17,17
19181,17,17
89355,28,28
100630,17,25
37217,12,12
13547,8,8
55762,12,12
111136,17,17
120476,28,28
27486,2,17
64861,25,25
65760,1,1
59493,18,18
91161,16,16
107935,12,12
109061,8,8
123233,16,16
107242,21,21
109002,30,30
8242,29,29
27958,17,17
73423,18,18
47546,17,17
88516,28,28
68489,6,6
51589,19,17
26526,2,2
23910,17,17
56337,17,17
43994,1,1
33185,25,17
44855,8,17
85093,8,8
31814,17,17
92991,23,23
34877,11,11
15702,17,17
80326,17,17
333,17,17
84959,28,28
89225,8,8
18086,2,2
26429,8,8
18775,17,17
92507,30,30
38295,17,17
111213,11,11
83528,17,17
9481,23,5
70526,21,21
110796,5,5
112124,21,17
119634,28,28
43688,8,8
32982,17,17
54062,16,20
56551,22,22
115729,17,17
26266,22,22
7492,8,8
116386,2,17
105862,23,23
50130,17,17
97401,11,11
86367,18,18
23598,17,17
80054,17,17
112563,30,30
31061,17,17
83020,17,17
66122,12,12
108655,16,16
116703,8,8
68365,8,8
109255,10,10
69204,8,8
2184,17,8
11500,8,8
57997,3,3
117425,20,20
110771,30,30
119565,27,27
90531,18,18
43703,17,17
30947,17,17
27317,5,8
124154,0,0
49820,15,15
80533,17,17
40189,17,17
104931,16,16
119054,13,13
11892,17,17
39897,18,18
109447,28,28
45126,18,18
47516,25,25
69361,8,8
28186,17,17
3660,17,17
15311,13,13
57571,8,8
48596,14,14
88845,12,12
1618,5,5
84903,17,17
31344,3,17
59869,17,17
52773,24,24
62414,18,18
25535,8,8
82863,25,25
15527,8,8
120391,18,18
3377,17,17
117562,17,17
22162,17,17
94178,6,6
98952,2,2
83640,17,17
98650,15,15
109491,3,3
12475,12,28
12717,17,17
71090,17,17
62596,5,4
47520,8,8
17749,3,3
99335,2,2
22387,8,8
25371,17,17
25093,17,17
21995,2,2
79644,17,17
6235,8,8
121309,16,16
64879,8,8
13614,8,8
47420,23,23
107303,12,12
104881,3,3
41634,17,17
27031,8,8
97943,12,12
39571,12,12
69330,17,17
92727,17,17
117787,16,16
101232,5,5
42909,20,11
36364,27,27
57982,17,17
88277,17,17
70094,6,6
33030,16,16
101086,30,30
80582,4,11
82031,3,3
59573,2,2
42952,17,17
103923,10,12
100828,3,3
6108,17,17
95841,8,8
65694,11,10
46709,17,17
16601,14,14
65354,8,8
35835,17,17
76793,27,27
75757,8,8
70741,16,16
108693,0,0
76307,12,12
76658,22,22
82349,4,23
60807,17,17
87899,17,17
9138,28,28
87772,6,6
1452,28,28
120000,15,15
41799,27,27
56113,17,17
1864,29,29
22613,28,28
122723,20,20
67973,2,2
65866,17,17
48595,5,5
101924,8,8
53745,15,15
79758,8,8
93636,8,8
17109,28,28
124107,0,0
119933,18,18
86656,15,15
115371,30,30
41880,17,17
52869,12,12
107224,10,10
25781,14,14
27449,28,28
35602,5,8
104814,21,21
100951,8,8
65341,17,17
67405,17,17
84485,17,17
87627,19,16
41369,17,17
94883,12,12
118297,21,21
77134,8,8
3767,29,29
91602,17,17
100610,12,12
81094,22,22
74265,12,12
47314,13,13
39890,18,18
124717,30,30
37612,17,17
4444,17,17
58811,17,17
58199,6,17
13631,12,12
70865,17,17
37975,17,17
112642,5,5
111479,11,11
105162,16,16
19271,23,23
122424,11,11
86374,8,8
116605,20,20
102359,3,3
60720,17,17
11572,17,17
23541,29,29
36556,5,5
97521,17,17
36823,22,22
101360,12,12
42196,18,18
14998,17,15
47804,17,17
76900,17,17
117571,8,8
12351,8,8
47382,10,10
75241,17,17
109343,20,20
16536,22,22
71151,30,30
39849,23,23
70330,17,17
43236,8,5
67610,2,2
71205,20,12
113618,16,16
7696,8,8
28204,12,12
31278,5,5
103921,5,5
74912,2,2
57726,15,15
52072,1,1
66648,25,25
120614,12,12
93354,9,9
69884,11,11
33010,25,25
83743,15,15
110374,8,8
27218,12,12
39196,25,25
1543,17,17
48117,25,25
103987,12,12
92959,28,28
59018,1,1
1824,8,8
74721,25,25
60844,28,28
58476,24,24
65722,5,5
110461,7,28
115787,12,12
115831,30,30
109132,12,12
96127,18,18
100651,17,17
41161,17,17
27422,8,8
17406,17,17
98858,5,5
36718,11,11
30662,25,25
1945,29,29
63787,17,17
18739,17,17
6528,17,17
104289,17,17
25217,17,17
109459,7,7
58693,25,25
60944,8,8
23987,2,2
117874,6,6
7156,8,8
2724,2,2
91234,18,18
72360,17,17
87188,8,8
88117,19,19
55050,13,12
111443,27,27
56774,17,17
40258,17,17
122239,15,15
19974,8,8
81066,27,27
94667,2,2
107448,17,17
118289,19,19
84543,8,8
72720,12,12
23706,17,17
95651,0,0
105918,18,18
24128,17,17
29752,25,25
106005,27,27
115183,8,8
102130,18,18
110772,19,19
32874,12,12
65559,4,4
17805,8,2
99342,17,17
105701,30,30
65240,17,17
26504,15,15
17284,29,29
74845,3,3
33877,28,28
50874,3,17
104714,2,2
17091,28,28
99124,26,26
124206,30,2
44937,17,17
1540,8,8
104588,12,12
41985,17,17
88318,23,23
23967,17,17
121021,26,26
124739,17,17
14461,8,8
7090,17,17
64502,2,2
28567,15,15
119959,28,28
26174,5,5
52835,17,17
80864,12,12
30919,28,28
58917,8,8
48158,6,6
98518,11,11
8341,17,17
35004,23,23
38979,8,8
49585,21,21
102607,18,18
101787,19,19
46382,28,28
91405,19,19
44640,17,17
15466,16,16
40518,5,2
43623,8,8
110157,26,26
53996,16,16
115870,17,17
86266,1,28
33657,25,25
86420,22,22
21069,29,29
106025,8,8
9203,17,17
60129,17,17
70590,17,17
16723,17,17
74689,2,2
68974,8,8
8089,8,8
16412,18,8
30300,8,16
66136,26,26
24651,7,7
119312,8,8
115158,13,13
96772,0,0
56685,15,17
74542,8,8
115182,30,25
25352,17,17
7423,17,17
44652,8,8
113683,26,26
78106,3,3
90564,26,26
67286,17,8
76774,27,27
98219,3,1
52983,24,3
94454,18,18
10140,17,17
83701,14,14
10641,27,27
93299,3,3
73045,17,17
87853,26,26
63403,17,17
67068,17,17
47194,1,1
74010,27,27
91315,21,21
2636,8,8
62839,25,25
68959,17,17
88255,0,1
94085,19,19
82919,17,17
25718,17,17
84953,17,17
35901,17,17
86750,23,23
96148,28,28
114765,28,28
38511,18,18
40947,5,5
15914,23,23
101575,22,22
60234,17,17
105342,21,21
27017,8,8
26890,17,17
44276,25,19
12000,8,8
50276,8,8
1900,17,17
55411,8,8
30708,17,17
2968,15,15
101445,12,12
81130,3,3
110623,26,26
18183,17,17
40347,5,5
6006,8,8
8775,16,16
59709,27,27
109081,30,30
86701,8,8
55068,5,5
9043,18,18
10963,7,7
4143,26,26
106528,17,17
118206,30,30
109070,0,0
108521,23,23
109689,4,4
121100,12,12
18751,17,17
105204,12,12
76282,2,2
101977,6,5
51681,17,17
15969,12,17
7524,17,17
70852,24,8
61769,25,25
30334,19,19
6110,14,14
36503,17,17
53840,17,17
76984,8,8
47123,22,22
32446,18,18
89950,28,12
120225,5,8
82843,8,8
28422,8,8
77885,18,18
43943,17,17
80749,8,8
3099,2,2
85846,19,19
5561,21,21
11626,11,17
83979,17,17
115775,9,9
106195,13,13
9760,22,22
19818,23,23
81511,22,22
73050,17,17
42063,11,11
91206,7,7
23515,18,18
115943,13,13
54264,25,25
115119,8,8
118873,8,18
44947,8,8
57445,30,17
87522,27,27
111060,2,2
68290,21,21
8218,1,1
38944,5,5
96412,2,2
114184,11,11
122421,30,30
109653,18,18
33261,8,8
101082,8,8
71617,22,22
20138,17,17
52295,23,23
18702,17,17
113503,12,12
61237,17,17
42501,17,17
14341,8,8
99281,17,17
66902,24,24
20081,17,17
29231,17,21
120053,10,10
99177,22,22
122173,17,17
99092,4,4
87382,6,6
117919,12,12
74471,8,8
86137,25,25
103744,17,17
24210,1,1
70989,3,3
54803,18,18
28576,17,17
53643,15,2
106686,5,10
124100,30,30
96012,28,28
111537,17,17
123202,17,17
91686,8,8
99381,17,17
71909,17,17
84446,8,8
51602,8,8
114413,6,6
83331,28,17
64444,17,17
70236,13,13
111545,6,6
67746,17,17
23861,8,8
110679,12,12
21822,29,17
103115,6,17
109771,30,30
123990,26,26
50264,21,21
74911,5,5
71575,4,4
38248,28,28
68051,10,10
123575,16,16
2542,17,17
70669,12,12
84843,17,6
108194,22,22
4679,27,27
67823,2,2
80472,17,17
41698,28,28
19648,8,8
124930,8,8
39402,17,17
101073,30,30
102919,3,3
25360,12,12
6766,28,28
41714,22,22
50188,30,30
33805,8,8
119220,12,12
25069,13,13
30896,8,8
105131,16,16
46909,17,17
93028,28,28
88040,9,9
69031,17,2
63418,26,26
96690,9,9
58354,17,17
104049,8,8
15753,17,21
45912,2,2
49384,8,8
20136,17,17
94109,17,18
116633,19,30
57015,8,8
10757,17,17
61091,22,22
100091,12,12
30418,17,17
85422,17,17
29321,17,17
10393,8,8
85087,1,1
2726,21,21
59442,10,10
97586,17,17
73081,17,17
7031,8,8
91222,16,16
69406,14,8
110611,10,10
43603,24,24
91268,30,30
61062,2,2
34502,17,17
114625,23,23
18337,17,17
30313,8,8
57700,25,25
27585,2,2
41536,30,30
121775,26,26
76005,12,12
43456,17,17
98780,8,8
120732,18,18
67422,21,21
116435,30,30
60078,17,17
98254,8,8
62817,17,17
95280,5,5
65132,8,8
111519,0,0
52441,18,18
10407,21,21
19273,17,17
26867,16,16
39881,17,17
107934,20,20
110747,12,12
81598,8,8
74360,4,4
43656,2,2
26704,17,17
47996,13,13
106393,3,3
84228,13,13
119227,2,2
99148,5,5
87766,16,16
124934,11,11
2997,19,19
56279,17,17
47138,11,11
124530,12,12
62172,17,17
79388,12,12
40357,17,17
109272,16,16
121018,12,12
111252,3,17
8764,17,2
119515,21,21
61468,13,13
121683,12,12
69151,27,27
13711,12,21
42939,17,17
42047,19,19
100187,16,16
9902,17,17
88360,30,30
107043,16,16
78076,17,17
38956,25,25
85519,18,18
74672,6,6
54529,17,17
115135,3,3
20803,16,16
91102,12,12
91431,17,17
118380,20,20
45718,22,22
117438,17,17
26857,21,21
103023,8,8
78300,17,17
23240,17,17
50409,12,12
84072,11,11
25097,29,29
84249,17,17
117819,28,28
120744,18,18
26788,17,17
14346,2,2
49187,5,5
123948,16,16
20959,17,17
30712,18,18
81644,18,18
29727,3,3
56855,19,19
88594,30,30
43957,25,25
43378,17,17
20992,17,17
96564,3,3
114105,26,26
70556,3,3
22893,18,18
20284,16,16
12751,18,18
24025,12,12
92125,7,7
42777,16,16
50704,8,8
64118,6,6
114163,0,0
52737,17,17
37983,8,8
37218,5,5
8932,11,17
114202,0,0
109644,30,30
8075,17,17
91883,12,17
124093,3,3
86663,17,17
79330,15,15
124741,0,0
29389,16,16
106936,2,9
7230,8,8
45879,4,4
103557,0,0
101396,8,8
23136,17,17
87631,28,28
98882,8,8
2259,17,17
58538,11,11
77999,3,11
12846,29,29
93662,30,30
362,17,17
94888,16,16
14324,16,16
58287,17,17
32523,17,17
25913,26,26
62983,5,5
77547,17,17
77871,19,19
47332,8,8
92466,16,16
15186,17,17
120742,26,26
80144,8,8
46942,17,17
12186,5,17
122001,8,8
51766,15,15
86061,8,8
107183,8,8
29478,5,5
27090,17,17
40932,27,27
86263,21,21
50244,10,10
68463,11,11
91877,17,11
2323,17,17
65745,17,17
3995,6,6
15627,26,26
100558,11,11
16441,5,8
59708,1,1
32807,17,3
23812,8,8
38423,6,6
122588,17,17
39584,17,17
19428,23,23
88788,12,12
74771,21,21
7162,8,8
36560,17,17
58341,17,17
2831,17,17
80113,8,8
19331,17,17
63512,18,18
6832,8,8
93214,8,8
36461,18,18
95917,6,6
77677,17,17
43600,17,17
105013,8,8
4051,17,17
55923,1,1
105667,11,17
89457,3,3
116643,30,25
18926,29,29
114643,2,2
67269,21,21
122672,12,12
20088,17,17
10762,29,18
44779,15,17
78724,5,5
52258,17,17
98022,20,20
8682,8,8
110336,17,17
23174,17,17
46726,17,17
51160,25,25
91209,28,21
94232,28,28
53248,18,18
53627,27,27
11295,8,8
110386,26,26
110678,18,18
93780,6,6
82853,8,8
57071,2,8
18684,17,17
124614,8,8
37059,17,17
73986,21,21
66343,17,17
115153,22,22
47066,8,8
8655,28,28
45172,15,15
71281,3,3
65621,10,10
77778,20,20
112800,21,21
115603,17,17
11074,29,29
110756,17,17
32757,17,17
42901,19,19
9314,17,17
44880,17,17
108489,3,3
5541,8,8
43057,8,8
104804,11,11
69478,16,16
110,8,8
2372,28,28
80816,17,17
87790,19,19
51740,8,8
65325,23,23
70424,30,30
105695,13,13
93696,9,9
36005,17,17
83843,22,22
19444,12,12
56266,25,25
55978,3,3
5154,18,18
16042,17,17
70894,1,1
31504,17,17
80601,17,17
70365,17,17
90233,30,30
36729,28,28
76673,17,17
23090,22,22
34391,17,17
75944,21,21
109006,21,21
91695,19,19
101627,3,3
9980,29,29
73988,17,17
76734,4,4
59788,3,3
65418,18,18
101970,12,12
39604,16,16
25265,17,17
123508,22,8
74776,17,17
43886,25,25
37634,17,17
59060,17,17
98786,30,17
39254,12,12
53683,27,27
85041,11,11
73176,23,23
51834,17,17
4911,17,17
56736,4,4
6872,17,17
121545,12,12
118944,11,11
36750,19,19
49466,16,16
68035,8,8
76487,28,28
54392,6,6
34628,23,23
28278,17,17
67331,8,8
33364,8,8
25690,17,3
53385,13,25
72947,8,8
42210,8,8
71669,17,17
95203,27,27
57680,25,25
107162,0,0
31641,8,8
5779,8,8
7225,28,28
75990,25,25
20475,17,17
100663,12,21
102417,30,30
102335,5,5
15530,6,6
80651,17,17
13732,4,4
50879,17,17
64750,21,21
64319,12,12
105202,30,30
66717,25,25
45410,8,8
61933,3,3
10501,15,15
97056,9,12
34827,14,14
89277,3,3
116028,10,10
71275,28,28
31235,17,17
88841,8,8
39929,8,8
19934,2,2
30464,25,17
114875,7,7
32549,18,18
32435,2,2
75473,11,11
112349,12,8
23445,17,17
79546,27,27
80511,8,8
33219,15,15
116697,17,17
18621,15,15
60386,8,8
9158,16,16
95382,13,13
122823,2,2
54067,21,21
80568,17,17
92017,8,8
61989,12,12
122740,8,8
27853,17,17
90285,17,17
32760,5,5
100577,17,17
119849,30,25
62016,24,24
94407,27,27
28101,17,19
24683,17,17
110430,10,10
24393,17,17
108523,30,30
1815,8,8
101205,16,16
15370,23,23
107213,4,4
10776,8,8
34752,8,17
79815,3,3
70566,20,20
67491,2,2
122877,18,18
26922,15,15
119026,8,8
53837,17,17
18742,17,17
8745,8,8
51491,17,17
98915,5,8
62079,10,10
76801,27,27
32590,11,11
90890,17,17
14792,23,23
111978,19,19
4218,17,17
39317,28,28
80251,20,20
28362,17,17
104363,8,8
50662,21,21
48662,17,17
9804,17,17
117703,0,0
94529,8,8
20399,17,17
97706,15,15
39845,8,8
94037,8,8
38061,17,17
20870,18,18
50925,8,8
101997,12,12
92016,9,9
50273,21,21
66705,11,11
59594,17,17
84848,6,6
23444,29,29
64534,20,20
68279,12,12
16249,5,5
25066,17,17
41652,26,26
4253,26,26
104649,17,17
56817,12,12
23604,15,15
124617,17,17
25818,3,3
78594,17,17
31974,16,16
39473,1,1
19461,18,18
47579,2,2
81246,12,12
31570,17,17
1349,8,8
87120,18,18
22711,29,29
18924,13,13
8535,8,8
22237,29,29
72639,15,15
86384,12,13
61164,26,26
63422,21,21
33116,11,11
67846,23,23
38183,28,28
87641,19,19
38592,12,12
26135,18,18
86802,0,0
1332,8,8
80057,24,24
118507,28,28
83587,10,10
23389,16,16
2854,21,21
90229,20,20
97744,12,12
84069,12,12
14377,11,11
27726,12,12
22691,13,13
18198,29,29
29161,17,17
54981,25,25
24777,18,18
94300,8,17
108346,19,19
104506,3,3
85611,28,28
75272,25,25
50839,1,1
24342,27,27
66792,21,21
9810,29,29
24655,17,17
53152,18,18
115714,17,17
3118,17,17
81834,1,1
84447,12,12
14203,16,16
44323,17,17
104160,23,23
105140,30,30
52211,13,13
45119,17,17
119200,6,6
57721,17,17
34410,28,28
29642,5,5
25844,25,25
68317,17,17
10154,22,22
61534,17,17
46780,20,20
65967,22,22
15177,29,29
8277,8,8
99091,21,21
99482,28,28
93364,0,0
75942,27,27
113699,17,17
50170,20,20
105394,4,4
69623,6,6
31271,17,17
81275,8,8
63354,17,17
51371,8,8
103956,16,3
102538,8,8
58291,8,8
42363,8,8
10056,21,21
43501,17,17
117659,8,8
98769,4,4
93434,26,26
65174,4,4
58814,8,8
10330,17,17
5381,8,8
100344,17,17
37278,17,17
77031,24,24
89538,17,17
83377,21,21
95587,18,18
25802,17,17
85446,8,8
112751,30,30
73966,21,21
65831,17,17
124218,3,3
14238,5,27
65194,24,24
66507,17,17
32528,8,8
83681,8,8
24840,18,18
116876,3,3
107046,12,12
47336,8,8
71937,15,15
10118,17,17
20014,17,17
28655,17,17
93082,7,7
102045,17,17
111643,12,12
33903,7,7
78530,27,27
81680,27,27
60932,8,8
27825,5,5
40233,14,14
79150,21,21
25686,16,16
40221,5,5
38246,8,8
53127,8,8
32082,19,19
37464,23,23
101573,8,8
60867,17,17
53710,2,2
123927,28,28
36768,8,8
46591,1,1
82272,15,15
77581,8,8
102695,3,3
102532,12,12
36883,17,17
41960,17,17
74412,18,18
95518,16,16
100193,17,17
18275,7,7
103279,8,8
53777,17,17
89549,17,17
109943,19,19
93403,16,16
99115,12,12
549,5,5
108718,21,21
32204,28,28
10425,8,8
75349,25,25
70625,11,11
28121,18,18
59983,13,13
44670,17,17
572,17,17
97940,4,4
33765,17,17
48546,17,17
89436,19,19
106012,2,2
120194,21,21
88038,12,12
61979,14,8
4896,17,17
81309,8,16
120298,28,17
47209,17,17
108236,12,12
8158,8,8
34498,11,11
102297,9,9
12116,5,5
85700,24,24
47615,16,16
34382,8,8
70058,8,8
45637,5,5
27418,17,17
2660,29,29
77488,8,8
12951,17,17
13479,22,22
20258,17,17
60421,22,22
73024,17,17
44848,16,16
47069,26,26
87045,17,17
56610,17,17
64395,21,21
26259,17,17
37680,5,5
100852,17,17
72579,17,2
67378,30,30
69244,2,2
46742,17,17
83515,8,8
5098,17,17
76654,8,8
102764,16,16
15911,14,14
98543,3,3
73341,24,28
85390,6,6
122715,13,13
90820,15,17
50146,12,12
68023,17,17
83631,2,2
91486,3,3
78415,17,17
98407,2,2
109270,8,8
123010,2,2
24038,29,25
115802,8,8
78184,3,3
116406,12,12
45956,17,17
96467,28,28
117601,11,11
73213,17,17
15031,29,29
68387,16,16
87639,23,23
28066,17,17
77791,8,8
114465,17,17
19686,6,6
30918,23,23
80708,5,5
35058,22,22
94744,6,6
31956,8,8
75612,21,21
6561,21,21
21664,12,12
43490,14,14
65758,10,10
65889,3,16
77553,8,8
65986,1,1
74125,22,22
100330,9,9
120003,26,26
68188,5,17
6650,17,17
98135,17,17
41863,17,17
69147,17,17
111295,3,3
122678,23,23
46254,11,11
81091,18,18
23739,8,8
73482,25,25
106275,12,12
8838,11,11
62252,10,10
41711,17,17
68386,17,17
109479,21,21
64001,17,17
79988,23,23
90828,9,9
77923,5,5
27880,25,25
15044,17,17
14169,17,17
26237,6,6
102013,19,19
77896,8,8
108683,30,30
113380,30,30
93570,28,28
51212,17,17
14009,22,22
100469,17,17
21842,15,15
83359,17,17
84965,8,8
1704,8,8
77187,25,25
24912,19,19
102196,12,12
108537,28,28
105870,8,8
20340,17,17
32447,17,17
114945,11,11
33626,17,17
5836,17,17
27733,15,15
21337,18,18
12345,17,17
48779,16,16
47891,17,17
23295,2,2
86932,2,2
88651,16,16
119303,19,19
34776,17,17
36103,17,17
9889,17,17
79124,19,19
29188,27,17
76538,21,21
49254,17,17
106380,16,16
114794,8,8
28264,8,8
71058,23,23
17037,17,17
62065,13,13
94149,15,15
79231,22,22
27589,17,17
101052,3,3
93267,8,8
32855,15,15
80611,12,12
69658,18,18
95776,8,8
118650,19,19
111364,21,21
79331,27,27
92806,3,12
74288,8,8
11922,28,17
119234,19,19
117994,17,17
21592,8,8
